列1,列2,列3,列4,Param1,Param2,Pram3
プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。,,,
プロローグ,楽天家ゲルト,村人,みんな大げさだなあ,,,
プロローグ,羊飼いカタリナ,霊能者,眠いのですよ～,,,
プロローグ,農夫ヤコブ,人狼,や,,,
プロローグ,少年ペーター,狩人,こんにちはー。,,,
プロローグ,少年ペーター,狩人,とりあえず寝るのですー。,,,
プロローグ,農夫ヤコブ,人狼,やってきてすぐ眠いとか言い出すのは死亡フラグだと思うん。,,,
プロローグ,農夫ヤコブ,人狼,おれっちはちょっと裏の倉庫で物音がしたから様子見てくるん。,,,
プロローグ,司書クララ,村人,>>4こんにちわ？,,,
プロローグ,司書クララ,村人,･･･時計の隠された村なのかしらね。,,,
プロローグ,司書クララ,村人,よろしく。,,,
プロローグ,司書クララ,村人,さて、アンケート置いておきます。,,,
プロローグ,司書クララ,村人,回答よろしく。,,,
プロローグ,司書クララ,村人,■１.,,,
プロローグ,司書クララ,村人,参加コアタイム 鳩飛ばせるかについて■２.,,,
プロローグ,司書クララ,村人,仮・本希望時間■３.,,,
プロローグ,司書クララ,村人,投票ＣＯについて□４.,,,
プロローグ,司書クララ,村人,自己紹介などエトセトラ,,,
プロローグ,司書クララ,村人,■１.,,,
プロローグ,司書クララ,村人,不定期ね。,,,
プロローグ,司書クララ,村人,夜は基本来れるし、朝とお昼休みも覗ける。,,,
プロローグ,司書クララ,村人,鳩はまだ不安定。,,,
プロローグ,司書クララ,村人,議事追うのが限界ね。,,,
プロローグ,司書クララ,村人,■２.,,,
プロローグ,司書クララ,村人,仮0:00 本1:00 朝は絶対起きれる自信がないので。,,,
プロローグ,司書クララ,村人,早まる分には問題ないけど、深夜になりすぎるのはやめてほしい。,,,
プロローグ,司書クララ,村人,■３.,,,
プロローグ,司書クララ,村人,どちらでも。,,,
プロローグ,司書クララ,村人,ただ使いたいというなら、無記名な分、対応はむずかしいのは理解して、今日のうちにどうすれば上手く使えるのか説明を希望するわ。,,,
プロローグ,司書クララ,村人,明日話すと言うなら、努力不足。,,,
プロローグ,司書クララ,村人,反対するわ。,,,
プロローグ,司書クララ,村人,クララです。,,,
プロローグ,司書クララ,村人,･･･他に何を言えと。,,,
プロローグ,司書クララ,村人,困ったわね。,,,
プロローグ,司書クララ,村人,あまり口が上手いほうではなくて。,,,
