列1,列2,列3,列4,Param1,Param2,Pram3
プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。,,,Wolf
プロローグ,楽天家ゲルト,村人,みんな大げさだなあ,,,
プロローグ,羊飼いカタリナ,人狼,こんばんは,,,
プロローグ,羊飼いカタリナ,人狼,中の人はキャラコンプが終わった瞬間にf国が終わりました。,,,
プロローグ,羊飼いカタリナ,人狼,役職コンブは共有者だけ残っています。,,,Co_owner
プロローグ,羊飼いカタリナ,人狼,とても残念です。,,,
プロローグ,羊飼いカタリナ,人狼,役職希望まで無くなるとは。,,,
プロローグ,羊飼いカタリナ,人狼,ずいぶん変わりましたね。,,,
プロローグ,農夫ヤコブ,村人,雨が止まないと畑が荒れちゃうだよ。,,,
プロローグ,農夫ヤコブ,村人,ハウス栽培のトマトは良い出来だけど。,,,
プロローグ,農夫ヤコブ,村人,リナ役職コンブって食べられるの？,,,
プロローグ,農夫ヤコブ,村人,良い出汁とれそうだな～。,,,
プロローグ,農夫ヤコブ,村人,んーじゃ鶏たちに餌をやらなきゃいけないから、また後で来るだよ。,,,
プロローグ,神父ジムゾン,霊能者,おお この雨は神の涙 悲しみの雫某F国終焉への想い 過去への追悼だが これはまた新たなる始まりされば謳おう！,,,
プロローグ,神父ジムゾン,霊能者,ぼくははげじゃ ありまっしぇん！！,,,
プロローグ,神父ジムゾン,霊能者,………,,,
プロローグ,神父ジムゾン,霊能者,ふぅ、今日も良い一日ですね。,,,
プロローグ,神父ジムゾン,霊能者,さあ雨ニモ負ケズがんばりましょうか。,,,
プロローグ,神父ジムゾン,霊能者,なにやら色々と仕様が変更されたようですが、面倒なのであまり確認する気はありまっしぇん。,,,
プロローグ,神父ジムゾン,霊能者,とりあえず役職希望ないのは理解しました。,,,
プロローグ,神父ジムゾン,霊能者,＞りなさんキャラコンプされただけでも素晴らしいと思いマス。,,,
プロローグ,神父ジムゾン,霊能者,あれ？,,,
プロローグ,神父ジムゾン,霊能者,キャラコンプってなんでしたっけ。,,,
プロローグ,神父ジムゾン,霊能者,伽羅昆布の間違いですね、延命効果があると言われ貴族や王族に重宝されたといわれる深海にのみ存在する珍しい昆布です。,,,
プロローグ,神父ジムゾン,霊能者,目玉が16個ついているのが主な特徴。,,,
プロローグ,神父ジムゾン,霊能者,＞やこぶさんいつも美味しいお野菜ありがとうございます。,,,
プロローグ,神父ジムゾン,霊能者,何やらG国ではエントリー発言のみだとキックされるとかされないとか聞きましたので、プロローグ中に戻られた方がよいかもしれません。,,,
プロローグ,神父ジムゾン,霊能者,ホントかどうかは知りませんが。,,,
プロローグ,神父ジムゾン,霊能者,あとなんでしたっけ？,,,
プロローグ,神父ジムゾン,霊能者,アンカーが使えるようになったんでしたっけ。,,,
プロローグ,神父ジムゾン,霊能者,>>1 こんなかんじでしょうか？,,,
プロローグ,神父ジムゾン,霊能者,おお、われらがげるとくんまでひとっとびさて今日の説法はこの程度にしておきましょうか。,,,
プロローグ,神父ジムゾン,霊能者,わたしは少し雨の中を散歩してまいります。,,,
プロローグ,神父ジムゾン,霊能者,ついでに子どもたちに配るお菓子でも買ってきますかね。,,,
プロローグ,神父ジムゾン,霊能者,ではでは**,,,
プロローグ,行商人アルビン,狩人,昆布いらんかねー 昆布昆布～,,,
プロローグ,農夫ヤコブ,村人,ジム、アル、雨の止まぬ村によく来てくれただよ。,,,
プロローグ,農夫ヤコブ,村人,アル、この村じゃ雨具が売れると思うだ。,,,
プロローグ,農夫ヤコブ,村人,さっき鶏に餌やった後、農具を買いに他の村行ったんで色々話を聞いただよ。,,,
プロローグ,農夫ヤコブ,村人,どうやら今日中に人が集まらなくてプロが延長になったら、また発言しとかないと失踪になるだな。,,,
プロローグ,農夫ヤコブ,村人,気をつけるだよ。,,,
プロローグ,行商人アルビン,狩人,昆布傘～いらんかね～,,,
プロローグ,農夫ヤコブ,村人,>>11 ジムが言ってくれてただな。,,,
プロローグ,農夫ヤコブ,村人,どうやら本当みたいだよ。,,,
プロローグ,農夫ヤコブ,村人,>>14 アル、柔軟さは商売人として強い武器だと思うだ。,,,
プロローグ,農夫ヤコブ,村人,がっぽがっぽ儲けるだよ。,,,
プロローグ,農夫ヤコブ,村人,おらも一つ買わないわけにいかないだ。,,,
プロローグ,農夫ヤコブ,村人,100ゲルトで足りるかな？,,,
プロローグ,農夫ヤコブ,村人,人数によって人狼だとかの数が変わったり狂人がいなかったりもするんだな。,,,
プロローグ,農夫ヤコブ,村人,狩人の護衛が成功したかもわからないというし、前に住んでたF国の村とけっこうな変化だよ。,,,Hunter
プロローグ,行商人アルビン,狩人,昆布傘まいどあり！,,,
プロローグ,行商人アルビン,狩人,雨を吸うとダシがとれる傘でっせ！,,,
プロローグ,村娘パメラ,村人,…,,,
プロローグ,村娘パメラ,村人,ここどこですか、何であたし連れてこられたんですか、何で、かか鍵をしめるんですか？,,,
プロローグ,村娘パメラ,村人,いったい何を、,,,
プロローグ,村娘パメラ,村人,メ、メモが…,,,
プロローグ,村娘パメラ,村人,【この情報は最大５日間有効である。,,,
プロローグ,村娘パメラ,村人,】,,,
プロローグ,村娘パメラ,村人,メインの活動時間帯,,,
プロローグ,村娘パメラ,村人,希望の仮本決定時間,,,
プロローグ,村娘パメラ,村人,その他、個人的な希望など,,,
プロローグ,村娘パメラ,村人,自己紹介,,,
プロローグ,村娘パメラ,村人,このメモ、６日目のことどう考えてるんだろ…,,,
プロローグ,村娘パメラ,村人,18-24時と朝方です。,,,
プロローグ,村娘パメラ,村人,仮19:00、本19:45くらいがいいな。,,,
プロローグ,村娘パメラ,村人,特にないです…,,,
プロローグ,村娘パメラ,村人,私も昆布食べたい…,,,
プロローグ,パン屋オットー,人狼,こんにちは,,,
プロローグ,パン屋オットー,人狼,19:00から20:30と朝ちょっとです,,,
プロローグ,パン屋オットー,人狼,仮19:00本19:30ぐらいがいいです,,,
プロローグ,パン屋オットー,人狼,特にないです,,,
プロローグ,パン屋オットー,人狼,昆布とパンってあうのかな。,,,
プロローグ,少女リーザ,村人,こんにちは！,,,
プロローグ,少女リーザ,村人,大体12時～22時ぐらいまで、いられると思うわ。,,,
プロローグ,少女リーザ,村人,22時以降は、朝までぐっすりおやすみよ。,,,
プロローグ,少女リーザ,村人,でも、お母さんがお仕事で夜までいない日は、0時ぐらいとか…,,,
プロローグ,少女リーザ,村人,夜更かしできるの。,,,
プロローグ,少女リーザ,村人,仮19時、本19時半ぐらいがいいなぁ。,,,
プロローグ,少女リーザ,村人,でも基本的に更新時間の前後はいられるから、みんなに合わせるの。,,,
プロローグ,少女リーザ,村人,今は特にないの。,,,
プロローグ,少女リーザ,村人,思いついたら、言ってみても良い？,,,
プロローグ,少女リーザ,村人,リズは、昆布大好きよ！,,,
プロローグ,少女リーザ,村人,昆布傘も良いけど、アルビンさん、可愛い模様の雨傘は売り物にないのー？,,,
プロローグ,少女リーザ,村人,>>12 これが噂のアンカね！,,,
プロローグ,少女リーザ,村人,すごーい。,,,
プロローグ,少女リーザ,村人,日付をまたいだ発言にアンカしたい時って、どうなるのかな？,,,
プロローグ,少女リーザ,村人,明日になったら試してみようっと。,,,
プロローグ,神父ジムゾン,霊能者,フフフ、駄菓子屋のラムネをすべて買い占めてきました。,,,
プロローグ,神父ジムゾン,霊能者,これで子どもたちはラムネが欲しければわたしを頼らざるを得ないわけですね。,,,
プロローグ,神父ジムゾン,霊能者,>>15 ヤコブなるほど。,,,
プロローグ,神父ジムゾン,霊能者,耐久PR時には注意が必要なのですね。,,,
プロローグ,神父ジムゾン,霊能者,さすがは雨の止まぬ村で唯一野菜を創れる男ヤコブ、素晴らしい着眼点です。,,,
プロローグ,農夫ヤコブ,村人,ちょいと様子を見に来ただ。,,,
プロローグ,農夫ヤコブ,村人,パメラ、オト、リザは歓迎するだ～。,,,
プロローグ,農夫ヤコブ,村人,なんとか夜明けまでに満員になって欲しいだな。,,,
プロローグ,農夫ヤコブ,村人,できればおらはきれいどころに来て欲しいだが。,,,
プロローグ,農夫ヤコブ,村人,昆布が村の売りになりつつある流れをつくったおらの責任として、この細マッチョな体を見せて呼び込みすべきだべか。,,,
プロローグ,神父ジムゾン,霊能者,>>29 ヤコブん･･･？,,,
プロローグ,神父ジムゾン,霊能者,もうすでにパメ、オト、リザと綺麗どころならちゃんと揃っているじゃないですか。,,,
プロローグ,神父ジムゾン,霊能者,確かに美しい女性は多ければ多いほど華がありますけどね。,,,
プロローグ,神父ジムゾン,霊能者,わたしはパメラくん1人でじゅうぶ…,,,
プロローグ,神父ジムゾン,霊能者,げふんげふん,,,
プロローグ,少女リーザ,村人,あ、>>25に補足するね。,,,
プロローグ,少女リーザ,村人,12時～22時に不定期に現れるの。,,,
プロローグ,少女リーザ,村人,あと、多分朝方もちょびっといるはず。,,,
プロローグ,少女リーザ,村人,>>28 通りで学校帰りにラムネ売ってないなって思ったわ。,,,
プロローグ,少女リーザ,村人,神父さまー、ラムネ頂戴！…,,,
プロローグ,少女リーザ,村人,早速アンカを駆使してみるリズ…,,,
プロローグ,少女リーザ,村人,今時のオンナなの。,,,
プロローグ,少女リーザ,村人,神父さま的に、オトさんは女の子なのね…,,,
プロローグ,少女リーザ,村人,でもわたしも先入観があったの…,,,
プロローグ,少女リーザ,村人,オトさん女の子フラグ立ってるの…。,,,
プロローグ,少女リーザ,村人,10人 狼狼占霊村村村村村楽11人 狼狼狂占霊狩村村村村楽12人 狼狼狂占霊狩村村村村村楽13人 狼狼狼占霊狩村村村村村村楽14人 狼狼狼狂占霊狩村村村村村村楽,Information,,
プロローグ,少女リーザ,村人,隣村で、面白い表を見つけたから貼っておくね。,,,
プロローグ,少女リーザ,村人,特筆すべきは10人村と、13人村なの。,,,
プロローグ,少女リーザ,村人,10人村は狂狩なし、13人村は狼3人で狂人さんがいないの。…,,,
プロローグ,少女リーザ,村人,これ、この村も変わってないよね？,,,
プロローグ,少女リーザ,村人,ちょっとおでかけしてくる。,,,
プロローグ,少女リーザ,村人,後でまた来るねー。,,,
プロローグ,農夫ヤコブ,村人,>>30 選択肢は多いほうがいいだよ。,,,
プロローグ,農夫ヤコブ,村人,誰がおらの心の琴線に触れてくれるかわからないだ。,,,
プロローグ,農夫ヤコブ,村人,このままだとおらはオトに走ってしまうかもしれねえし。,,,
プロローグ,農夫ヤコブ,村人,にしても、ラムネで子供の心を人質にとったジムは、危険な香りがするだ･･･,,,
プロローグ,旅人ニコラス,村人,雨が止まないって最高カパ！,,,
プロローグ,旅人ニコラス,村人,いつでも泳ぎ放題カパよ！,,,
プロローグ,農夫ヤコブ,村人,リザ>>32は助かるだね。,,,
プロローグ,農夫ヤコブ,村人,賢い少女だべ。,,,
プロローグ,農夫ヤコブ,村人,ラムネにつられねえよう気をつけるだよ。,,,
プロローグ,農夫ヤコブ,村人,あ、メモが回ってただな。,,,
プロローグ,農夫ヤコブ,村人,どれどれ。,,,
プロローグ,農夫ヤコブ,村人,夜中心だけど夜明け前後はいるつもりだあよ。,,,
プロローグ,農夫ヤコブ,村人,仮19時本19時半だべか。,,,
プロローグ,農夫ヤコブ,村人,これが嫌だってことは特にねえな。,,,
プロローグ,農夫ヤコブ,村人,柔軟に対応したいだよ。,,,
プロローグ,旅人ニコラス,村人,カパ？,,,
プロローグ,旅人ニコラス,村人,パメラの議題に答えるッパ。,,,
プロローグ,旅人ニコラス,村人,大体お昼過ぎくらいから更新前後までいる予定ッパ。,,,
プロローグ,旅人ニコラス,村人,本決定19時半、仮決定はその一時間～30分前が理想カパパ。,,,
プロローグ,旅人ニコラス,村人,特にないカパ。,,,
プロローグ,旅人ニコラス,村人,ポクは合羽を着てるだけで、河童じゃないカパパ。,,,
プロローグ,旅人ニコラス,村人,泳ぐのとキュウリは大好きカパ。,,,
プロローグ,青年ヨアヒム,村人,諸君、私は人狼が好きだ。,,,
プロローグ,旅人ニコラス,村人,背中のは荷物じゃないカパ。,,,
プロローグ,旅人ニコラス,村人,甲羅なのッパ。,,,
プロローグ,旅人ニコラス,村人,>>23ヤコブは細マッチョカパ？,,,
プロローグ,旅人ニコラス,村人,細マッチョって何だカパ？,,,
プロローグ,旅人ニコラス,村人,美味しいのカパ？,,,
プロローグ,農夫ヤコブ,村人,旅人ニコ、いらっしゃいだあね。,,,
プロローグ,農夫ヤコブ,村人,とりあえず特産品の昆布とおらの自慢のきゅうりで歓迎するだよ。,,,
プロローグ,農夫ヤコブ,村人,つ【伽羅昆布】【きゅうり】なんか人間でも狼でもねえ匂いをその口調から感じるだが、今は気づかなかったことにするだ。,,,
プロローグ,農夫ヤコブ,村人,じゃ、ちょっと畑を見てくるだ。,,,
